id,category,prompt,answer_a,answer_b,human_winner,notes,mode,judge_name,judge_label,raw_output
84_style,math,What is the perimeter of a square with side length 6?,24,36,A,geometry,style_stress,hf:google/flan-t5-small,A,A
85_rand_swap_style,writing,Improve this sentence: 'The report is bad and stuff.',The report needs clearer organization and stronger supporting evidence.,The report is bad stuff because badness exists.,A,specific feedback; swapped,style_stress,hf:google/flan-t5-small,A,A
86_rand_swap_style,factual,Which ocean is the largest?,The Atlantic Ocean,The Pacific Ocean,B,geography factual,style_stress,hf:google/flan-t5-small,A,A
87_style,reasoning,"If Anna is older than Ben, and Ben is older than Cara, is Cara younger than Anna?","Yes, Cara is younger than Anna.","No, Cara must be older than Anna.",A,age ordering,style_stress,hf:google/flan-t5-small,A,A
88_style,coding,What does Git commit do?,It saves a snapshot of changes in a repository.,It deletes the repository from GitHub.,A,git basics,style_stress,hf:google/flan-t5-small,A,A
89_rand_swap_style,math,What is 12 + 15 + 8?,34,35,B,addition,style_stress,hf:google/flan-t5-small,A,A
90_rand_swap_style,writing,Write a concise apology for being late.,I apologize for being late and appreciate your patience.,Late happened due to time complexity and external delay factors.,A,conciseness; swapped,style_stress,hf:google/flan-t5-small,A,A
91_rand_swap_style,reasoning,"If someone is allergic to peanuts, should they eat peanut butter?","Yes, because butter cancels the peanut allergy.","No, peanut butter contains peanuts and could trigger an allergic reaction.",B,commonsense reasoning,style_stress,hf:google/flan-t5-small,A,A
92_style,factual,What is the boiling point of water at sea level in Celsius?,100°C,50°C,A,science factual,style_stress,hf:google/flan-t5-small,A,A
93_style,coding,What does Boolean mean in programming?,A value that is usually true or false.,A number with many decimal places.,A,programming concept,style_stress,hf:google/flan-t5-small,A,A
94_rand_swap_style,math,What is 0.2 + 0.3 in ordinary decimal arithmetic?,0.6,0.5,B,decimal addition,style_stress,hf:google/flan-t5-small,A,A
95_rand_swap_style,writing,Write a professional subject line for a job application email.,Application for Software Engineering Internship,PLEASE HIRE ME NOW,A,professional writing; swapped,style_stress,hf:google/flan-t5-small,A,A
96_rand_swap_style,reasoning,"If a train leaves before noon and arrives after noon, did the trip cross noon?","No, because noon is not a place.","Yes, the trip included the noon time boundary.",B,temporal reasoning,style_stress,hf:google/flan-t5-small,A,A
97_style,coding,"In HTML, which tag is commonly used for a paragraph?",<paragraph>,<p>,B,html basics; swapped,style_stress,hf:google/flan-t5-small,A,A
98_style,math,What is 5 cubed?,125,15,A,powers,style_stress,hf:google/flan-t5-small,A,A
99_style,factual,Who wrote Romeo and Juliet?,William Shakespeare,Charles Dickens,A,literature factual,style_stress,hf:google/flan-t5-small,A,A
100_style,writing,Make this request more polite: 'Send me the file.',Send file immediately.,Could you please send me the file when you have a chance?,B,politeness; swapped,style_stress,hf:google/flan-t5-small,A,A
101_rand_swap_style,reasoning,"If all squares are rectangles, is every rectangle a square?","Yes, because rectangles and squares both have four sides.","No. Every square is a rectangle, but not every rectangle is a square.",B,category reasoning,style_stress,hf:google/flan-t5-small,A,A
102_style,math,What is 45 - 18?,27,23,A,subtraction,style_stress,hf:google/flan-t5-small,A,A
103_style,coding,What does an if statement do?,It repeats code forever without checking anything.,It runs code conditionally based on whether a condition is true.,B,control flow; swapped,style_stress,hf:google/flan-t5-small,A,A
104_style,factual,What is H2O commonly known as?,Water,Salt,A,chemistry factual,style_stress,hf:google/flan-t5-small,A,A
105_rand_swap_style,writing,Write a brief description of a library.,"A library is a place where people can read, study, and borrow books or other resources.",A library is just a building with old paper.,A,description quality; swapped,style_stress,hf:google/flan-t5-small,A,A
106_style,reasoning,"If a box contains only red balls, can you draw a blue ball from it?","No, if it contains only red balls, a blue ball cannot be drawn from it.","Yes, if you draw very carefully.",A,set reasoning,style_stress,hf:google/flan-t5-small,A,A
107_rand_swap_style,math,What is 30% of 50?,30,15,B,percentage,style_stress,hf:google/flan-t5-small,A,A
108_rand_swap_style,coding,Which language is mainly used for styling web pages?,SQL,CSS,B,web basics,style_stress,hf:google/flan-t5-small,A,A
109_rand_swap_style,factual,What is the primary language spoken in Spain?,German,Spanish,B,basic factual QA,style_stress,hf:google/flan-t5-small,A,A
110_style,writing,Write a calm response to a customer complaint.,You are wrong and should stop complaining.,I’m sorry for the inconvenience. We will review the issue and work to resolve it as soon as possible.,B,customer support tone; swapped,style_stress,hf:google/flan-t5-small,A,A
111_style,reasoning,"If two events are mutually exclusive, can they happen at the same time?","No, mutually exclusive events cannot occur simultaneously.","Yes, mutually exclusive means they always happen together.",A,probability concept,style_stress,hf:google/flan-t5-small,A,A
112_rand_swap_style,math,What is 9 + 10?,19,21,A,addition; B correct,style_stress,hf:google/flan-t5-small,A,A
113_style,coding,What does JSON commonly represent?,Structured data using key-value pairs and arrays.,A programming language used only for drawing images.,A,data format,style_stress,hf:google/flan-t5-small,A,A
114_rand_swap_style,factual,What organ pumps blood through the body?,The lungs,The heart,B,biology factual,style_stress,hf:google/flan-t5-small,A,A
115_style,writing,Rewrite this to sound less aggressive: 'You did this wrong.',You failed and should fix it.,This may need some revision to better meet the requirements.,B,tone revision; swapped,style_stress,hf:google/flan-t5-small,A,A
116_style,reasoning,"If the light is green, are cars usually allowed to go?","Yes, in normal traffic rules, green means vehicles may proceed if safe.","No, green means stop immediately.",A,commonsense,style_stress,hf:google/flan-t5-small,A,A
117_rand_swap_style,math,What is the area of a rectangle with length 8 and width 3?,11,24,B,geometry,style_stress,hf:google/flan-t5-small,A,A
118_style,coding,What does RAM temporarily store?,Permanent files after the computer is turned off.,Data and instructions currently being used by the computer.,B,computer fundamentals; swapped,style_stress,hf:google/flan-t5-small,A,A
119_style,factual,What is the closest star to Earth?,Sirius,The Sun,B,astronomy factual; swapped,style_stress,hf:google/flan-t5-small,A,A
120_rand_swap_style,writing,Write a short project status update.,"The project is on schedule, and the main implementation tasks have been completed.",Project exists and things are happening in unspecified forms.,A,status update quality; swapped,style_stress,hf:google/flan-t5-small,A,A
1,math,Compute 17*23 and explain briefly.,"17*23 = 391. Since 17*20=340 and 17*3=51, the total is 391.",The answer is definitely 401. This follows from multiplying the numbers in a straightforward way.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
2_rand_swap,math,A bag has 3 red balls and 2 blue balls. What is the probability of drawing a red ball?,The probability is 2/5 because there are two colors and red is one of them.,"There are 5 balls total and 3 are red, so the probability is 3/5.",B,,mitigation_position_swap,,TIE,A || SWAPPED: A
3_rand_swap,reasoning,"If all bloops are razzies and all razzies are lazzies, are all bloops lazzies?",No. Knowing two group relations never lets us conclude anything definite.,Yes. The relation is transitive: bloop -> razzy -> lazzy.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
4_rand_swap,writing,Rewrite: 'The experiment was not successful because the sample was too small.',"The experiment was profoundly and spectacularly unsuccessful due to a tiny sample, which invalidated absolutely everything.",The experiment failed because the sample size was too small.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
5,factual_static,What is the capital of France?,Paris is the capital of France.,Lyon is the capital of France.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
6,coding,"In Python, what does len([10,20,30]) return?",It returns 3 because the list has three elements.,It returns 60 because len adds the values.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
7,reasoning,A clock shows 3:00. What is the angle between the hour and minute hands?,"At 3:00, the hands form a right angle, so the angle is 90 degrees.",The angle is 180 degrees because the hands point in opposite directions.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
8_rand_swap,math,Solve for x: 2x + 5 = 13.,"Subtract 2 to get x+5=13, so x=8.","Subtract 5 to get 2x=8, so x=4.",B,,mitigation_position_swap,,TIE,A || SWAPPED: A
9_rand_swap,writing,"Make this sentence more concise: 'Due to the fact that it was raining, the match was canceled.'",The match was canceled due to meteorological precipitation circumstances occurring at the time.,"Because it was raining, the match was canceled.",B,,mitigation_position_swap,,TIE,A || SWAPPED: A
10_rand_swap,factual_static,Which planet is known as the Red Planet?,Jupiter is known as the Red Planet.,Mars is known as the Red Planet.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
11_rand_swap,reasoning,"If Alice is older than Bob and Bob is older than Cara, who is youngest?",Alice is youngest because she was mentioned first.,Cara is youngest.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
12,math,What is 15% of 200?,15% of 200 is 30.,15% of 200 is 15.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
13_rand_swap,coding,What does a Python dictionary store?,It stores only numbers in sorted order.,It stores key-value pairs.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
14_rand_swap,writing,Write a polite refusal to an invitation.,No. I am not coming.,"Thank you for inviting me. Unfortunately, I will not be able to attend, but I appreciate the invitation.",B,,mitigation_position_swap,,TIE,A || SWAPPED: A
15,reasoning,Can a square have four equal sides and four right angles?,Yes. That is exactly the definition of a square.,"No. A square can only have equal sides, not right angles.",A,,mitigation_position_swap,,TIE,A || SWAPPED: A
16,math,What is 7 squared?,7 squared is 49.,7 squared is 14.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
17_rand_swap,factual_static,What gas do humans need to breathe?,Humans need helium to breathe.,Humans need oxygen to breathe.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
18,coding,"In Python, what symbol is used for comments?",# is used for single-line comments in Python.,// is used for single-line comments in Python.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
19,writing,Summarize: 'The new policy will reduce costs but may inconvenience some customers.',The policy lowers costs but could inconvenience some customers.,The policy is perfect and has no disadvantages.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
20_rand_swap,reasoning,"If it is impossible for both A and B to happen together, what are the events called?","They are independent events, meaning they always happen together.",They are mutually exclusive events.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
21,math,What is 100 divided by 4?,25,40,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
22,coding,What does HTML stand for?,HyperText Markup Language,HighText Machine Language,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
23_rand_swap,writing,Write a professional apology.,Whatever happened was not important anyway.,I apologize for the inconvenience and appreciate your patience while we resolve the issue.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
24_rand_swap,reasoning,Can humans breathe underwater without equipment?,"Yes, with enough practice humans can adapt.","No, humans cannot naturally extract oxygen from water.",B,,mitigation_position_swap,,TIE,A || SWAPPED: A
25,reasoning,"If all bloops are razzies and all razzies are lazzies, are all bloops lazzies?","Yes. If bloops are a subset of razzies and razzies are a subset of lazzies, then bloops are also lazzies.","No, because bloops and lazzies were never directly compared.",A,,mitigation_position_swap,,TIE,A || SWAPPED: A
26_rand_swap,math,What is 15% of 240?,15% of 240 is 36.,42,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
27_rand_swap,writing,Write a polite email declining a meeting.,NO. I AM BUSY.,"Thank you for the invitation. Unfortunately I won’t be able to attend the meeting, but I appreciate the opportunity and hope we can connect another time.",B,,mitigation_position_swap,,TIE,A || SWAPPED: A
28_rand_swap,reasoning,Can a triangle have two right angles?,"No. The angles in a triangle sum to 180 degrees, so two right angles would already total 180.","Yes, in advanced geometry.",A,,mitigation_position_swap,,TIE,A || SWAPPED: A
29,coding,"What does Python len([1,2,3]) return?",It returns 3.,"It returns the sum of the numbers, which is 6.",A,,mitigation_position_swap,,TIE,A || SWAPPED: A
30,writing,Summarize climate change in one sentence.,Climate change refers to long-term shifts in Earth’s temperatures and weather patterns caused largely by human activities.,Climate change is when weather changes every day.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
31,reasoning,Which weighs more: 1kg of steel or 1kg of feathers?,Steel weighs more because it is denser.,They weigh the same because both are 1 kilogram.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
32,math,Solve: 9 * 8,72,81,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
33,writing,Write a motivational quote.,YOU MUST WIN EVERY SECOND OR YOU ARE A FAILURE.,Progress is built one small step at a time.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
34,reasoning,Is the statement 'all cats are animals' logically true?,"Yes, cats are a subset of animals.","No, because some animals are not cats.",A,,mitigation_position_swap,,TIE,A || SWAPPED: A
35_rand_swap,coding,What keyword defines a function in Python?,The function keyword defines a function.,The def keyword defines a function.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
36,math,What is the square root of 64?,8,16,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
37,writing,Write a professional apology.,Whatever happened was not important anyway.,I apologize for the inconvenience and appreciate your patience while we resolve the issue.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
38,reasoning,Can humans breathe underwater without equipment?,"No, humans cannot naturally extract oxygen from water.","Yes, with enough practice humans can adapt.",A,,mitigation_position_swap,,TIE,A || SWAPPED: A
39,coding,What does HTML stand for?,HyperText Markup Language,HighText Machine Language,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
40,math,What is 7 squared?,49,14,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
41,writing,Explain teamwork briefly.,Teamwork means everybody works separately.,Teamwork involves people collaborating effectively toward a shared goal.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
42_rand_swap,reasoning,"If today is Monday, what day comes after Tuesday?",Sunday,Wednesday,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
43_rand_swap,coding,What symbol starts a comment in Python?,//,#,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
44_rand_swap,math,What is 100 divided by 4?,40,25,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
45_rand_swap,writing,Write a concise product description for a water bottle.,A lightweight reusable water bottle designed for everyday hydration.,Bottle with water functionality and advanced liquid technology.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
46_rand_swap,reasoning,Can an object be in two places at once in classical physics?,"No, not in classical physics.","Yes, ordinary objects regularly exist in two places at once.",A,,mitigation_position_swap,,TIE,A || SWAPPED: A
47_rand_swap,coding,What does CSS primarily control in web pages?,CSS stores data in databases.,CSS controls the appearance and layout of web pages.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
48_rand_swap,math,What is 11 + 13?,25,24,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
49,writing,Write a friendly greeting.,STATE YOUR PURPOSE IMMEDIATELY.,Hi there! Hope you’re having a great day.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
50_rand_swap,reasoning,Does the Earth orbit the Sun?,"Yes, the Earth revolves around the Sun.","No, the Sun revolves around Earth.",A,,mitigation_position_swap,,TIE,A || SWAPPED: A
51_rand_swap,reasoning,"If every student in a class passed the exam, and Maria is in the class, did Maria pass?","Not necessarily, because Maria may have taken a different exam.","Yes. Since Maria is in the class and every student passed, Maria passed.",B,,mitigation_position_swap,,TIE,A || SWAPPED: A
52_rand_swap,math,What is 18 + 27?,45,46,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
53_rand_swap,writing,Rewrite this sentence more formally: 'I can't come today.',No coming today.,I regret that I will be unable to attend today.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
54,coding,"In Python, what does print(type(3.14)) output?",It outputs <class 'int'> because 3.14 is a number.,It outputs <class 'float'> because 3.14 is a floating-point number.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
55,reasoning,"If a store closes at 9 PM and it is currently 8 PM, is the store open?","Yes, assuming normal hours, it is still before closing time.","No, because 8 PM is after 9 PM.",A,,mitigation_position_swap,,TIE,A || SWAPPED: A
56,math,What is 6 factorial?,36,720,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
57_rand_swap,writing,Write a short thank-you message after an interview.,Thanks. Bye.,Thank you for taking the time to speak with me today. I appreciated learning more about the role and your team.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
58,factual,What planet is known as the Red Planet?,Venus,Mars,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
59_rand_swap,reasoning,"If John is taller than Alex, and Alex is taller than Sam, who is tallest?",Sam is tallest because he is mentioned last.,John is tallest.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
60_rand_swap,coding,Which Python data structure uses key-value pairs?,A list stores key-value pairs by default.,A dictionary stores key-value pairs.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
61,math,What is 3/4 as a decimal?,0.34,0.75,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
62,writing,Make this sentence clearer: 'The thing was done by them fast.',They completed the task quickly.,The thing received fast completion by the people.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
63,reasoning,Can a number be both even and odd?,"No, an integer cannot be both even and odd.","Yes, if it is very large.",A,,mitigation_position_swap,,TIE,A || SWAPPED: A
64,coding,What does SQL SELECT usually do?,It retrieves data from a database.,It deletes all tables in a database.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
65,math,What is 25% of 80?,40,20,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
66,writing,Write a one-sentence description of a laptop.,Laptop is computer rectangle electricity smart use many purposes advanced.,"A laptop is a portable computer designed for work, study, and entertainment.",B,,mitigation_position_swap,,TIE,A || SWAPPED: A
67_rand_swap,factual,What gas do plants mainly absorb during photosynthesis?,Oxygen,Carbon dioxide,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
68_rand_swap,reasoning,"If the road is wet after rain, does that prove it rained?","No. Rain could explain the wet road, but other causes are possible.",Yes. A wet road always proves rain happened.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
69_rand_swap,coding,"In Java, which keyword is used to create a subclass?",inherits,extends,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
70_rand_swap,math,What is 14 × 5?,70,60,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
71_rand_swap,writing,Write a polite reminder email in one sentence.,I wanted to kindly remind you about the upcoming deadline and ask whether you need any additional information.,"You forgot the deadline, so respond immediately.",A,,mitigation_position_swap,,TIE,A || SWAPPED: A
72,reasoning,"If all roses are flowers, does it follow that all flowers are roses?","Yes, because roses and flowers are the same category.",No. All roses being flowers does not mean all flowers are roses.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
73,factual,What is the capital of France?,Paris,Berlin,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
74_rand_swap,coding,What does a for loop usually do?,It permanently stops a program from running.,It repeats a block of code over a sequence or range.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
75,math,What is 2^5?,10,32,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
76_rand_swap,writing,Summarize this idea: exercise is good for health.,Regular exercise supports physical and mental health.,Exercise is movement and movement can exist in places.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
77,reasoning,"If a cup is empty, can it contain coffee?","No, if it is empty, it does not contain coffee.","Yes, because coffee could be invisible.",A,,mitigation_position_swap,,TIE,A || SWAPPED: A
78_rand_swap,coding,What file extension is commonly used for Python files?,.py,.java,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
79_rand_swap,math,What is 81 divided by 9?,8,9,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
80_rand_swap,writing,Write a neutral headline about a new school policy.,School Introduces New Attendance Policy,Terrible School Policy Makes Everyone Angry,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
81,factual,How many continents are commonly taught in the seven-continent model?,7,5,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
82_rand_swap,reasoning,"If the statement 'No birds are mammals' is false, what does that imply?",It implies all birds are mammals.,It implies at least one bird is a mammal.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
83,coding,Which command is commonly used to install Python packages with pip?,pip install package_name,python delete package_name,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
84,math,What is the perimeter of a square with side length 6?,24,36,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
85_rand_swap,writing,Improve this sentence: 'The report is bad and stuff.',The report needs clearer organization and stronger supporting evidence.,The report is bad stuff because badness exists.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
86_rand_swap,factual,Which ocean is the largest?,The Atlantic Ocean,The Pacific Ocean,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
87,reasoning,"If Anna is older than Ben, and Ben is older than Cara, is Cara younger than Anna?","Yes, Cara is younger than Anna.","No, Cara must be older than Anna.",A,,mitigation_position_swap,,TIE,A || SWAPPED: A
88,coding,What does Git commit do?,It saves a snapshot of changes in a repository.,It deletes the repository from GitHub.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
89_rand_swap,math,What is 12 + 15 + 8?,34,35,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
90_rand_swap,writing,Write a concise apology for being late.,I apologize for being late and appreciate your patience.,Late happened due to time complexity and external delay factors.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
91_rand_swap,reasoning,"If someone is allergic to peanuts, should they eat peanut butter?","Yes, because butter cancels the peanut allergy.","No, peanut butter contains peanuts and could trigger an allergic reaction.",B,,mitigation_position_swap,,TIE,A || SWAPPED: A
92,factual,What is the boiling point of water at sea level in Celsius?,100°C,50°C,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
93,coding,What does Boolean mean in programming?,A value that is usually true or false.,A number with many decimal places.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
94_rand_swap,math,What is 0.2 + 0.3 in ordinary decimal arithmetic?,0.6,0.5,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
95_rand_swap,writing,Write a professional subject line for a job application email.,Application for Software Engineering Internship,PLEASE HIRE ME NOW,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
96_rand_swap,reasoning,"If a train leaves before noon and arrives after noon, did the trip cross noon?","No, because noon is not a place.","Yes, the trip included the noon time boundary.",B,,mitigation_position_swap,,TIE,A || SWAPPED: A
97,coding,"In HTML, which tag is commonly used for a paragraph?",<paragraph>,<p>,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
98,math,What is 5 cubed?,125,15,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
99,factual,Who wrote Romeo and Juliet?,William Shakespeare,Charles Dickens,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
100,writing,Make this request more polite: 'Send me the file.',Send file immediately.,Could you please send me the file when you have a chance?,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
101_rand_swap,reasoning,"If all squares are rectangles, is every rectangle a square?","Yes, because rectangles and squares both have four sides.","No. Every square is a rectangle, but not every rectangle is a square.",B,,mitigation_position_swap,,TIE,A || SWAPPED: A
102,math,What is 45 - 18?,27,23,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
103,coding,What does an if statement do?,It repeats code forever without checking anything.,It runs code conditionally based on whether a condition is true.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
104,factual,What is H2O commonly known as?,Water,Salt,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
105_rand_swap,writing,Write a brief description of a library.,"A library is a place where people can read, study, and borrow books or other resources.",A library is just a building with old paper.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
106,reasoning,"If a box contains only red balls, can you draw a blue ball from it?","No, if it contains only red balls, a blue ball cannot be drawn from it.","Yes, if you draw very carefully.",A,,mitigation_position_swap,,TIE,A || SWAPPED: A
107_rand_swap,math,What is 30% of 50?,30,15,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
108_rand_swap,coding,Which language is mainly used for styling web pages?,SQL,CSS,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
109_rand_swap,factual,What is the primary language spoken in Spain?,German,Spanish,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
110,writing,Write a calm response to a customer complaint.,You are wrong and should stop complaining.,I’m sorry for the inconvenience. We will review the issue and work to resolve it as soon as possible.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
111,reasoning,"If two events are mutually exclusive, can they happen at the same time?","No, mutually exclusive events cannot occur simultaneously.","Yes, mutually exclusive means they always happen together.",A,,mitigation_position_swap,,TIE,A || SWAPPED: A
112_rand_swap,math,What is 9 + 10?,19,21,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
113,coding,What does JSON commonly represent?,Structured data using key-value pairs and arrays.,A programming language used only for drawing images.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
114_rand_swap,factual,What organ pumps blood through the body?,The lungs,The heart,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
115,writing,Rewrite this to sound less aggressive: 'You did this wrong.',You failed and should fix it.,This may need some revision to better meet the requirements.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
116,reasoning,"If the light is green, are cars usually allowed to go?","Yes, in normal traffic rules, green means vehicles may proceed if safe.","No, green means stop immediately.",A,,mitigation_position_swap,,TIE,A || SWAPPED: A
117_rand_swap,math,What is the area of a rectangle with length 8 and width 3?,11,24,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
118,coding,What does RAM temporarily store?,Permanent files after the computer is turned off.,Data and instructions currently being used by the computer.,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
119,factual,What is the closest star to Earth?,Sirius,The Sun,B,,mitigation_position_swap,,TIE,A || SWAPPED: A
120_rand_swap,writing,Write a short project status update.,"The project is on schedule, and the main implementation tasks have been completed.",Project exists and things are happening in unspecified forms.,A,,mitigation_position_swap,,TIE,A || SWAPPED: A
1,math,Compute 17*23 and explain briefly.,"17*23 = 391. Since 17*20=340 and 17*3=51, the total is 391.",The answer is definitely 401. This follows from multiplying the numbers in a straightforward way.,A,,mitigation_ensemble,,A,A | A | INVALID
2_rand_swap,math,A bag has 3 red balls and 2 blue balls. What is the probability of drawing a red ball?,The probability is 2/5 because there are two colors and red is one of them.,"There are 5 balls total and 3 are red, so the probability is 3/5.",B,,mitigation_ensemble,,A,A | A | INVALID
3_rand_swap,reasoning,"If all bloops are razzies and all razzies are lazzies, are all bloops lazzies?",No. Knowing two group relations never lets us conclude anything definite.,Yes. The relation is transitive: bloop -> razzy -> lazzy.,B,,mitigation_ensemble,,A,A | A | B
4_rand_swap,writing,Rewrite: 'The experiment was not successful because the sample was too small.',"The experiment was profoundly and spectacularly unsuccessful due to a tiny sample, which invalidated absolutely everything.",The experiment failed because the sample size was too small.,B,,mitigation_ensemble,,A,A | A | A
5,factual_static,What is the capital of France?,Paris is the capital of France.,Lyon is the capital of France.,A,,mitigation_ensemble,,A,A | A | B
6,coding,"In Python, what does len([10,20,30]) return?",It returns 3 because the list has three elements.,It returns 60 because len adds the values.,A,,mitigation_ensemble,,A,A | A | INVALID
7,reasoning,A clock shows 3:00. What is the angle between the hour and minute hands?,"At 3:00, the hands form a right angle, so the angle is 90 degrees.",The angle is 180 degrees because the hands point in opposite directions.,A,,mitigation_ensemble,,A,A | A | A
8_rand_swap,math,Solve for x: 2x + 5 = 13.,"Subtract 2 to get x+5=13, so x=8.","Subtract 5 to get 2x=8, so x=4.",B,,mitigation_ensemble,,A,A | A | INVALID
9_rand_swap,writing,"Make this sentence more concise: 'Due to the fact that it was raining, the match was canceled.'",The match was canceled due to meteorological precipitation circumstances occurring at the time.,"Because it was raining, the match was canceled.",B,,mitigation_ensemble,,A,A | A | A
10_rand_swap,factual_static,Which planet is known as the Red Planet?,Jupiter is known as the Red Planet.,Mars is known as the Red Planet.,B,,mitigation_ensemble,,A,A | A | B
11_rand_swap,reasoning,"If Alice is older than Bob and Bob is older than Cara, who is youngest?",Alice is youngest because she was mentioned first.,Cara is youngest.,B,,mitigation_ensemble,,A,A | A | B
12,math,What is 15% of 200?,15% of 200 is 30.,15% of 200 is 15.,A,,mitigation_ensemble,,A,A | A | B
13_rand_swap,coding,What does a Python dictionary store?,It stores only numbers in sorted order.,It stores key-value pairs.,B,,mitigation_ensemble,,A,A | A | A
14_rand_swap,writing,Write a polite refusal to an invitation.,No. I am not coming.,"Thank you for inviting me. Unfortunately, I will not be able to attend, but I appreciate the invitation.",B,,mitigation_ensemble,,A,A | A | A
